Ticker,Horizon,Mode,n,winshare_origin,dbar,kstar_dropk
XOM,7m,filtered,73,0.699,0.027612447399505365,
XOM,7m,unfiltered,127,0.575,-0.016748880646841026,2.0
XOM,8m,filtered,73,0.753,0.030938156328081043,
XOM,8m,unfiltered,127,0.622,-0.019762989676390327,3.0
SP500ded,1d,filtered,105,0.59,0.006794528723474021,
SP500ded,1d,unfiltered,187,0.556,0.0052389725890814275,
SP500ded,5d,filtered,105,0.638,0.00796282767294275,
SP500ded,5d,unfiltered,187,0.615,0.004774820706597049,
SP500ded,10d,filtered,105,0.657,0.007015840865504904,
SP500ded,10d,unfiltered,187,0.604,0.004363625657384221,
SP500ded,15d,filtered,105,0.657,0.009075292197077423,
SP500ded,15d,unfiltered,187,0.594,0.004514940904038778,
SP500ded,1m,filtered,105,0.648,0.012175593010914617,
SP500ded,1m,unfiltered,187,0.578,0.003421385281159341,
SP500ded,2m,filtered,105,0.762,0.031780561198791885,
SP500ded,2m,unfiltered,187,0.642,0.00043726058611540537,
SP500ded,3m,filtered,105,0.838,0.04371393635049367,
SP500ded,3m,unfiltered,187,0.695,-0.004847523132108206,2.0
SP500ded,4m,filtered,105,0.829,0.04882919581423937,
SP500ded,4m,unfiltered,187,0.701,-0.006468708619298423,2.0
SP500ded,5m,filtered,105,0.848,0.05511194426647044,
SP500ded,5m,unfiltered,187,0.706,-0.0050050610022394654,1.0
SP500ded,6m,filtered,105,0.886,0.05847816653561313,
SP500ded,6m,unfiltered,187,0.711,-0.00340995365889557,1.0
SP500ded,7m,filtered,105,0.857,0.05733775138874313,
SP500ded,7m,unfiltered,187,0.695,-0.0004583241457639658,1.0
SP500ded,8m,filtered,105,0.876,0.05771717428882921,
SP500ded,8m,unfiltered,187,0.701,-0.0032657122995440545,1.0
